N,CustoRemocao
1,1.00
1001,49.67
2001,55.02
3001,56.94
4001,59.47
5001,60.46
6001,61.91
7001,62.46
8001,63.68
9001,63.50
10001,64.16
11001,66.02
12001,65.78
13001,66.71
14001,67.33
15001,66.40
16001,67.67
17001,68.08
18001,67.30
19001,68.66
20001,68.61
21001,69.02
22001,69.27
23001,68.89
24001,68.89
25001,69.18
26001,69.70
27001,70.47
28001,69.42
29001,69.33
30001,69.83
31001,70.43
32001,70.72
33001,70.38
34001,70.49
35001,71.53
36001,70.67
37001,71.28
38001,70.63
39001,70.75
40001,71.36
41001,69.39
42001,71.17
43001,69.59
44001,70.82
45001,72.14
46001,71.10
47001,71.68
48001,70.67
49001,70.77
50001,71.94
51001,71.90
52001,72.07
53001,70.91
54001,71.26
55001,71.32
56001,71.68
57001,72.36
58001,71.70
59001,71.91
60001,71.92
61001,71.46
62001,72.92
63001,71.89
64001,71.82
65001,71.16
66001,71.78
67001,72.20
68001,71.92
69001,71.19
70001,72.00
71001,70.81
72001,71.87
73001,71.84
74001,72.71
75001,71.16
76001,72.09
77001,71.30
78001,72.58
79001,71.68
80001,72.24
81001,73.44
82001,72.99
83001,72.48
84001,72.99
85001,72.49
86001,72.59
87001,71.82
88001,72.08
89001,71.94
90001,72.40
91001,72.10
92001,72.21
93001,72.43
94001,71.87
95001,72.88
96001,72.25
97001,72.14
98001,71.71
99001,72.88
