N,CustoInsercao
1,2.00
1001,19.12
2001,19.32
3001,20.13
4001,20.27
5001,21.51
6001,21.70
7001,22.58
8001,22.06
9001,21.99
10001,22.91
11001,22.35
12001,22.62
13001,22.72
14001,22.97
15001,22.78
16001,23.24
17001,22.73
18001,22.98
19001,22.68
20001,23.67
21001,23.71
22001,23.32
23001,23.35
24001,23.60
25001,23.31
26001,23.81
27001,23.81
28001,23.13
29001,23.33
30001,23.60
31001,23.71
32001,23.88
33001,23.36
34001,23.70
35001,24.05
36001,22.97
37001,23.16
38001,23.82
39001,23.70
40001,23.21
41001,22.83
42001,23.79
43001,24.98
44001,23.51
45001,23.37
46001,23.27
47001,23.96
48001,23.49
49001,23.65
50001,23.76
51001,23.82
52001,23.35
53001,23.78
54001,23.49
55001,24.34
56001,23.79
57001,23.38
58001,23.64
59001,23.09
60001,23.35
61001,23.38
62001,23.14
63001,24.14
64001,23.01
65001,22.77
66001,23.04
67001,23.48
68001,23.83
69001,23.53
70001,24.53
71001,23.74
72001,23.43
73001,24.22
74001,24.28
75001,24.62
76001,24.37
77001,24.56
78001,24.36
79001,24.62
80001,24.43
81001,24.40
82001,24.57
83001,25.04
84001,24.57
85001,25.08
86001,24.06
87001,24.37
88001,25.20
89001,24.21
90001,24.38
91001,24.88
92001,24.43
93001,23.85
94001,24.30
95001,24.31
96001,24.33
97001,24.27
98001,24.11
99001,23.81
