N,CustoInsercao
1,0.00
1001,13.49
2001,14.84
3001,15.71
4001,15.62
5001,16.99
6001,16.91
7001,16.45
8001,16.89
9001,17.05
10001,17.75
11001,17.38
12001,17.69
13001,17.75
14001,17.74
15001,18.69
16001,17.56
17001,18.49
18001,18.25
19001,18.40
20001,18.05
21001,18.05
22001,18.75
23001,18.23
24001,19.10
25001,19.22
26001,18.45
27001,18.81
28001,19.53
29001,19.00
30001,18.70
31001,18.84
32001,19.83
33001,19.07
34001,19.55
35001,19.88
36001,19.10
37001,19.96
38001,19.70
39001,19.34
40001,18.83
41001,19.28
42001,19.74
43001,19.56
44001,19.88
45001,19.43
46001,20.06
47001,19.74
48001,19.39
49001,19.49
50001,20.13
51001,20.06
52001,20.10
53001,19.62
54001,19.79
55001,20.08
56001,21.12
57001,19.90
58001,20.32
59001,20.07
60001,20.68
61001,20.53
62001,20.62
63001,21.93
64001,21.03
65001,20.85
66001,20.26
67001,20.68
68001,19.89
69001,20.35
70001,20.76
71001,21.59
72001,20.56
73001,20.99
74001,21.37
75001,21.44
76001,20.28
77001,20.89
78001,21.38
79001,21.64
80001,21.66
81001,21.42
82001,21.14
83001,20.97
84001,21.86
85001,21.48
86001,20.62
87001,21.89
88001,22.02
89001,21.30
90001,20.83
91001,21.88
92001,21.06
93001,20.92
94001,21.76
95001,21.66
96001,21.40
97001,22.02
98001,21.73
99001,21.75
