N,CustoRemocao
1,0.00
1001,9.57
2001,10.59
3001,11.48
4001,11.70
5001,12.04
6001,12.36
7001,12.43
8001,12.74
9001,12.72
10001,13.00
11001,12.72
12001,13.11
13001,13.17
14001,13.43
15001,13.42
16001,13.33
17001,13.54
18001,13.50
19001,13.73
20001,13.69
21001,13.90
22001,13.81
23001,13.84
24001,14.17
25001,13.95
26001,14.19
27001,14.14
28001,14.10
29001,14.52
30001,14.37
31001,14.39
32001,14.49
33001,14.55
34001,14.41
35001,14.71
36001,14.50
37001,14.68
38001,14.56
39001,14.53
40001,14.61
41001,14.65
42001,14.59
43001,14.61
44001,14.97
45001,14.69
46001,14.98
47001,14.92
48001,14.99
49001,14.73
50001,15.16
51001,15.01
52001,15.43
53001,15.73
54001,15.17
55001,15.64
56001,15.74
57001,15.85
58001,15.36
59001,15.45
60001,15.59
61001,15.62
62001,15.63
63001,16.14
64001,15.41
65001,16.16
66001,15.82
67001,15.92
68001,15.54
69001,15.93
70001,16.87
71001,16.33
72001,16.17
73001,16.54
74001,16.68
75001,16.69
76001,16.27
77001,16.14
78001,16.31
79001,17.16
80001,16.49
81001,16.93
82001,16.89
83001,16.72
84001,17.19
85001,16.57
86001,16.71
87001,17.03
88001,17.19
89001,16.99
90001,16.45
91001,17.38
92001,16.57
93001,17.30
94001,17.54
95001,17.17
96001,17.18
97001,17.79
98001,17.54
99001,17.46
